Date,Open,High,Low,Close,Adj Close,Volume
2023-11-01,301.850006,312.739990,301.850006,311.850006,311.519470,20434600
2023-11-02,317.299988,318.820007,308.329987,310.869995,310.540497,21631800
2023-11-03,312.549988,315.549988,311.019989,314.600006,314.266571,16754100
2023-11-06,315.980011,318.329987,314.450012,315.799988,315.465271,12887700
2023-11-07,317.059998,321.000000,315.119995,318.820007,318.482086,14055600
2023-11-08,318.140015,321.329987,314.880005,319.779999,319.441071,13609700
2023-11-09,319.420013,324.179993,318.799988,320.549988,320.210236,16103100
2023-11-10,319.940002,329.100006,319.459991,328.769989,328.421539,19096200
2023-11-13,326.200012,332.329987,325.700012,329.190002,328.841095,16908900
2023-11-14,334.540009,338.100006,333.329987,336.309998,335.953552,17179400
2023-11-15,337.929993,338.399994,330.019989,332.709991,332.357361,14531200
2023-11-16,329.369995,334.579987,326.380005,334.190002,333.835785,18932600
2023-11-17,330.260010,335.500000,329.350006,335.040009,334.684906,14494400
2023-11-20,334.890015,341.869995,334.190002,339.970001,339.609680,16960500
2023-11-21,338.329987,339.899994,335.899994,336.980011,336.622864,12027900
2023-11-22,339.209991,342.920013,338.579987,341.489990,341.128052,10702700
2023-11-24,340.130005,341.859985,336.769989,338.230011,337.871521,5467500
2023-11-27,336.179993,339.899994,334.200012,334.700012,334.345276,15684500
2023-11-28,333.399994,339.380005,333.399994,338.989990,338.630707,12637200
2023-11-29,339.690002,339.899994,330.779999,332.200012,331.847931,16024500
2023-11-30,331.890015,333.500000,322.399994,327.149994,326.803253,23146400
2023-12-01,325.480011,326.859985,320.760010,324.820007,324.475739,15264700
2023-12-04,317.290009,320.859985,313.660004,320.019989,319.680817,19037100
2023-12-05,318.980011,321.880005,315.390015,318.290009,317.952667,16952100
2023-12-06,321.929993,322.250000,317.040009,317.450012,317.113556,11294300
2023-12-07,317.769989,328.239990,317.769989,326.589996,326.243835,15905100
2023-12-08,323.089996,333.170013,323.000000,332.750000,332.397308,14077500
2023-12-11,329.399994,329.890015,320.000000,325.279999,324.935242,25802500
2023-12-12,324.600006,334.470001,324.559998,334.220001,333.865753,18485500
2023-12-13,333.929993,338.369995,332.640015,334.739990,334.385193,16353300
2023-12-14,333.850006,334.700012,328.640015,333.170013,332.816895,19607300
2023-12-15,331.989990,338.660004,331.220001,334.920013,334.565033,30001600
2023-12-18,337.480011,347.559998,337.019989,344.619995,344.254730,18993900
2023-12-19,345.579987,353.600006,345.119995,350.359985,349.988647,17729400
2023-12-20,348.649994,354.959991,347.790009,349.279999,348.909790,16369900
2023-12-21,352.980011,356.410004,349.209991,354.089996,353.714691,15289600
2023-12-22,355.579987,357.200012,351.220001,353.390015,353.015472,11764200
2023-12-26,354.989990,356.980011,353.450012,354.829987,354.453918,9898600
2023-12-27,356.070007,359.000000,355.309998,357.829987,357.450714,13207900
2023-12-28,359.700012,361.899994,357.809998,358.320007,357.940216,11798800
2023-12-29,358.989990,360.000000,351.820007,353.959991,353.584839,14980500
2024-01-02,351.320007,353.160004,340.010010,346.290009,345.922974,19042200
2024-01-03,344.980011,347.950012,343.179993,344.470001,344.104889,15451100
2024-01-04,344.500000,348.149994,343.399994,347.119995,346.752075,12099900
2024-01-05,346.989990,353.500000,346.260010,351.950012,351.576996,13920700
2024-01-08,354.700012,358.980011,352.049988,358.660004,358.279877,13890200
2024-01-09,356.399994,360.640015,355.359985,357.429993,357.051147,13463900
2024-01-10,360.170013,372.940002,359.079987,370.470001,370.077332,22117200
2024-01-11,372.130005,372.779999,362.929993,369.670013,369.278198,17205400
2024-01-12,370.160004,377.059998,369.540009,374.489990,374.093079,19295700
2024-01-16,373.649994,375.609985,367.230011,367.459991,367.070526,15306900
2024-01-17,366.299988,368.540009,358.609985,368.369995,367.979553,12724800
2024-01-18,371.489990,376.850006,370.950012,376.130005,375.731354,16354300
2024-01-19,379.000000,384.359985,377.970001,383.450012,383.043610,21470100
2024-01-22,387.950012,390.350006,381.160004,381.779999,381.375366,17680500
2024-01-23,384.619995,388.380005,382.079987,385.200012,384.791748,15506100
2024-01-24,390.000000,396.149994,387.809998,390.700012,390.285919,15698500
2024-01-25,390.170013,395.489990,385.660004,393.179993,392.763275,15091100
2024-01-26,394.350006,396.790009,391.589996,394.140015,393.722260,13163700
2024-01-29,394.989990,402.929993,393.100006,401.019989,400.594940,18742400
2024-01-30,403.589996,406.359985,399.570007,400.059998,399.635986,18614700
2024-01-31,389.000000,398.000000,387.100006,390.140015,389.726501,20180800
2024-02-01,393.940002,400.500000,393.049988,394.779999,394.361572,29727100
2024-02-02,459.600006,485.959991,453.010010,474.989990,474.486542,84615500
2024-02-05,469.880005,471.899994,459.220001,459.410004,458.923065,40832400
2024-02-06,464.000000,467.119995,453.000000,454.720001,454.238037,21655200
2024-02-07,458.000000,471.519989,456.179993,469.589996,469.092285,23066000
2024-02-08,468.320007,470.589996,465.029999,470.000000,469.501862,18815100
2024-02-09,472.950012,473.589996,467.470001,468.109985,467.613831,18413100
2024-02-12,468.190002,479.149994,466.579987,468.899994,468.403015,19382000
2024-02-13,456.869995,467.890015,455.089996,460.119995,459.632324,20916600
2024-02-14,467.929993,474.109985,466.089996,473.279999,472.778381,16858400
2024-02-15,475.279999,488.619995,472.220001,484.029999,483.516968,24212300
2024-02-16,478.109985,478.959991,469.209991,473.320007,472.818329,23306500
2024-02-20,469.720001,476.179993,466.559998,471.750000,471.250000,18015500
2024-02-21,466.500000,469.000000,461.790009,468.029999,468.029999,12977100
2024-02-22,480.239990,489.989990,476.059998,486.130005,486.130005,21625800
2024-02-23,488.049988,494.359985,482.350006,484.029999,484.029999,18374300
2024-02-26,483.470001,486.140015,480.600006,481.739990,481.739990,12101400
2024-02-27,479.980011,487.269989,479.920013,487.049988,487.049988,10809600
2024-02-28,485.000000,491.049988,482.750000,484.019989,484.019989,12715500
2024-02-29,488.440002,491.700012,482.609985,490.130005,490.130005,17732000
2024-03-01,492.109985,504.250000,491.850006,502.299988,502.299988,16273600
2024-03-04,503.000000,504.420013,496.420013,498.190002,498.190002,12324100
2024-03-05,495.000000,495.579987,487.890015,490.220001,490.220001,15325300
2024-03-06,497.630005,502.970001,494.290009,496.089996,496.089996,11757900
